Expandable Memory Type,Secondary Camera Resolution,Charging Type,SIM Count,Secondary Camera,RAM Size,Battery Size,Internal Memory,Version,Screen Size,SIM Type,Display Resolution,Colour Name,Display Type,Display Resolution Type,Operating System Version,Operating System,Voice Calling Capability,Fast Charging,Network Frequency Band,Processor Name,Number of Cores,Primary Camera Feature,Flash,Model Year,Network Type,Condition,Model Number,Model Name,Primary Camera (MP),Title,Price,Brand,Rating,Product Image,Product Link,Processor Speed,Product Weight,Operating System Number,Processor Number,What's In The Box,Glass Technology,Video Recording Resolution Type,Water/Dust Properties,Finish,Product Length,Product Height,Product Width/Depth,Maximum Expandable Memory,Refresh Rates,Sensor,Camera Type,Battery Type,Pixels Per Inch,Network,Audio Jack,Wireless
,,Type-C,Dual SIM,,4 GB,5000 mAh,128 GB,International Version,6.71 in,Nano SIM,,Star Blue,,,,,,YES,,,,,LED,2023,4G,,Redmi A3,,,Redmi A3 Dual Sim Star Blue 4Gb Ram 128Gb 4G - Global Version,EGP 4967.20 Inclusive of VAT,Xiaomi,5.0,[],https://www.noon.com/egypt-en/redmi-a3-dual-sim-star-blue-4gb-ram-128gb-4g-global-version/N70052311V/p/?o=bc7219e1f718e8ea,,,,,Mobile Phone | Adapter | USB Type-C Cable | SIM Eject Tool | Quick Start Guide | Safety Information,,,,,,,,,,,Primary Camera + Secondary Camera,Lithium Polymer,,,,
,,,Dual SIM,,6 GB,5000 mAh,128 GB,Middle East Version,6.74 in,Nano SIM,,Glacier White,,,,,,,,,,,,,,New,2311DRN14I | 23106RN0DA,Redmi 13C,,Redmi 13C Dual SIM Glacier White 6GB RAM 128GB 4G - Global Version,EGP 5999.00 Inclusive of VAT,Xiaomi,4.4,"['https://f.nooncdn.com/p/pnsku/N70040427V/45/_/1706000447/68ad8125-57f9-47d9-a859-96fbc1a13891.jpg', 'https://f.nooncdn.com/p/pnsku/N70031438V/45/_/1703133164/e097262d-7188-433f-843a-bcaec285cc4b.jpg', 'https://f.nooncdn.com/p/pnsku/N70031501V/45/_/1709822664/ac09b153-6a69-47f5-9b21-842cd119900b.jpg', 'https://f.nooncdn.com/p/pnsku/N70040315V/45/_/1705987883/d8289145-e25c-4a3a-9c75-d3321a415edd.jpg']",https://www.noon.com/egypt-en/redmi-13c-dual-sim-glacier-white-6gb-ram-128gb-4g-global-version/N70031438V/p/?o=f9669bfd28bd2f6b,,,,,,,,,,,,,,,,,,,,,
,,,Dual SIM,,6 GB,6000 mAh,256 GB,Middle East Version,6.8 in,Nano SIM,,Midnight Black,,,,,,,,,,,,,,New,CLK - LX2,X7b,,"X7b Dual SIM 6GB RAM 256GB 4G - Midnight Black, With Honor X6 Earbuds - White",EGP 9650.00 Inclusive of VAT,Honor,5.0,"['https://f.nooncdn.com/p/pnsku/N70070457V/45/_/1715139127/834919ba-44a1-466e-bbb7-4fe8dbf8a2ae.jpg', 'https://f.nooncdn.com/p/pnsku/N70070456V/45/_/1715139123/ba9199a8-1d9c-4ba0-8c84-3022c2f63ca3.jpg', 'https://f.nooncdn.com/p/pnsku/N70070455V/45/_/1715139117/3a0372d7-bfdc-4176-84df-dcd7303dad0d.jpg']",https://www.noon.com/egypt-en/x7b-dual-sim-6gb-ram-256gb-4g-midnight-black-with-honor-x6-earbuds-white/N70070455V/p/?o=acec4395fb86acad,,,,,,,,,,,,,,,,,,,,,
,,,Dual SIM,,6 GB,6000 mAh,256 GB,Middle East Version,6.8 in,Nano SIM,,Emerald Green,,,,,,,,,,,,,,New,CLK - LX2,X7b,,"X7b Dual SIM  6GB RAM 256GB 4G - Emerald Green, With Honor X6 Earbuds - White",EGP 9650.00 Inclusive of VAT,Honor,4.5,"['https://f.nooncdn.com/p/pnsku/N70070457V/45/_/1715139127/834919ba-44a1-466e-bbb7-4fe8dbf8a2ae.jpg', 'https://f.nooncdn.com/p/pnsku/N70070456V/45/_/1715139123/ba9199a8-1d9c-4ba0-8c84-3022c2f63ca3.jpg', 'https://f.nooncdn.com/p/pnsku/N70070455V/45/_/1715139117/3a0372d7-bfdc-4176-84df-dcd7303dad0d.jpg']",https://www.noon.com/egypt-en/x7b-dual-sim-6gb-ram-256gb-4g-emerald-green-with-honor-x6-earbuds-white/N70070457V/p/?o=be0b92ad992f323a,,,,,,,,,,,,,,,,,,,,,
No Expandable Memory,50 MP,Type-C,Dual SIM,32 MP & Above,12 GB,5200 mAh,512 GB,Middle East Version,6.78 in,Nano SIM,1284x2778,Ocean Cyan,OLED,FHD+,Android 14,Android,Yes,Yes,GSM/LTE/UMTS,Qualcomm Snapdragon,Octa Core,Triple,LED,2024,5G,New,5109BFWC / ELP-NX9,HONOR 200 Pro,50+50+12 Mp,200 Pro 5G Dual SIM Ocean Cyan 12GB RAM + 512GB - Middle East Version,EGP 35999.00 Inclusive of VAT,Honor,N/A,"['https://f.nooncdn.com/p/pnsku/N70091785V/45/_/1720687160/8bb06ead-2f40-4675-9e7c-3bbabd3e4b3a.jpg', 'https://f.nooncdn.com/p/pnsku/N70091787V/45/_/1720687168/3c0d5687-c5c3-47eb-99b9-2ccdc42b96d7.jpg', 'https://f.nooncdn.com/p/pnsku/N70091786V/45/_/1720687158/d18e377d-e130-4654-9ea2-2177a0f1c995.jpg']",https://www.noon.com/egypt-en/200-pro-5g-dual-sim-ocean-cyan-12gb-ram-512gb-middle-east-version/N70091786V/p/?o=b0f742f4bb4107af,,,,,,,,,,,,,,,,,,,,,
,,Type-C,Dual SIM,,8 GB,3650 mAh,256 GB,International Version,6.1 in,Nano + eSIM,,Blue Titanium,Dynamic AMOLED,,,iOS,Yes,Yes,,Apple Bionic,Octa Core,Triple,LED,2023,5G,New,iPhone 15 Pro,iPhone 15 Pro,,iPhone 15 Pro 256GB Blue Titanium 5G With FaceTime - International Version,EGP 58499.00 Inclusive of VAT,Apple,4.6,"['https://f.nooncdn.com/p/pnsku/N53432522A/45/_/1694762131/2f7a389a-e814-4ff3-900f-8af8ea75a69b.jpg', 'https://f.nooncdn.com/p/pnsku/N53432638A/45/_/1694762153/ddcc3a18-4a27-4fac-ab72-a7d6acf8ce91.jpg', 'https://f.nooncdn.com/p/pnsku/N53432599A/45/_/1694762205/74eba157-226f-43b2-abc6-0e81def5e427.jpg', 'https://f.nooncdn.com/p/pnsku/N53432842A/45/_/1694762130/e8659031-9474-423a-9635-d3a3a26b9284.jpg']",https://www.noon.com/egypt-en/iphone-15-pro-256gb-blue-titanium-5g-with-facetime-international-version/N53432638A/p/?o=b0b5ac38a801988a,,,17.0,A17 Pro,,,,,,,,,,120Hz,,,,,,,
,,,Dual SIM,,6 GB,5000 mAh,128 GB,International Version,6.72 in,Nano SIM,,Verde,,,,,,,,,,,,,,New,Oppo A58,Oppo A58,,A58 Dual SIM Verde 6GB RAM 128GB 4G - International Version,EGP 7750.00 Inclusive of VAT,OPPO,4.5,[],https://www.noon.com/egypt-en/a58-dual-sim-verde-6gb-ram-128gb-4g-international-version/N70052020V/p/?o=c0e8fcd125f0632c,,,,,,,,,,,,,,,,,,,,,
,,,Dual SIM,,6 GB,6000 mAh,256 GB,Middle East Version,6.8 in,Nano SIM,,Flowing Silver,,,,,,,,,,,,,,New,CLK - LX2,X7b,,"X7b Dual SIM 6GB RAM 256GB 4G - Flowing Silver, With Honor X6 Earbuds - White",EGP 9650.00 Inclusive of VAT,Honor,5.0,"['https://f.nooncdn.com/p/pnsku/N70070457V/45/_/1715139127/834919ba-44a1-466e-bbb7-4fe8dbf8a2ae.jpg', 'https://f.nooncdn.com/p/pnsku/N70070456V/45/_/1715139123/ba9199a8-1d9c-4ba0-8c84-3022c2f63ca3.jpg', 'https://f.nooncdn.com/p/pnsku/N70070455V/45/_/1715139117/3a0372d7-bfdc-4176-84df-dcd7303dad0d.jpg']",https://www.noon.com/egypt-en/x7b-dual-sim-6gb-ram-256gb-4g-flowing-silver-with-honor-x6-earbuds-white/N70070456V/p/?o=cd9c76eff4ef546b,,,,,,,,,,,,,,,,,,,,,
MicroSD,0.08 MP,Type-C,Dual SIM,,6 GB,5000 mAh,128 GB,Middle East Version,6.5 in,Nano SIM,1620x1080,Mocha Brown,LCD,HD,,Android,Yes,Yes,LTE,MediaTek Dimensity,Octa Core,Dual,LED,,4G,New,V2333,Y18,50,Y18 4G Dual SIM Mocha Brown 6GB RAM 128GB - Middle East Version,EGP 6699.00 Inclusive of VAT,vivo,4.3,"['https://f.nooncdn.com/p/pnsku/N70072467V/45/_/1715846907/a86df228-1a97-4a9c-a38e-cc7c63f0a466.jpg', 'https://f.nooncdn.com/p/pnsku/N70072468V/45/_/1715846915/d29b47f8-9d9b-4d9c-8659-691c786cbd48.jpg']",https://www.noon.com/egypt-en/y18-4g-dual-sim-mocha-brown-6gb-ram-128gb-middle-east-version/N70072467V/p/?o=b66235cb0124fcaf,2 GHz,,,G85,,Sapphire,,Water Resistant and Dust Resistant,,,,,1 TB,,Fingerprint Scanner,,,,,3.5 mm,
MicroSD,2 MP,Type-C,Dual SIM,Upto 4.9 MP,8 GB,5000 mAh,256 GB,Middle East Version,6.7 in,Nano SIM,1080x2400,Dazzling Purple,LCD,FHD+,Android 13,Android,Yes,Yes,LTE,MediaTek Dimensity,Dual Core,Dual,LED,2023,5G,New,"CPH2557P, CPH2557",A79,50+2MP,A79 Dual SIM Dazzling Purple 8GB RAM 256GB 5G LTE- Middle East Version,EGP 9990.00 Inclusive of VAT,OPPO,4.3,"['https://f.nooncdn.com/p/pnsku/N70045654V/45/_/1707818760/1fbb2864-10f9-4eed-842f-babc27bc9195.jpg', 'https://f.nooncdn.com/p/pnsku/N70045655V/45/_/1707818819/be462515-f001-4354-8d2f-3ba7e3b0e019.jpg']",https://www.noon.com/egypt-en/a79-dual-sim-dazzling-purple-8gb-ram-256gb-5g-lte-middle-east-version/N70045654V/p/?o=b42ec3f68147cb7a,,,13.1,6020,,Gorilla Glass,1080p HD recording,Dust Resistant,,,,,1 TB,90Hz,"Accelerometer, gyroscope, Digital Compass",,,,,,
MicroSD,2 MP,Type-C,Dual SIM,Upto 4.9 MP,4 GB,5000 mAh,64 GB,Middle East Version,6.7 in,Nano SIM,720x1600,Black,,,,Android,,,LTE,,,,,,4G,New,SM-A055FZKDMEA / SM-A055FZKGMEA,Galaxy A05,50+2 mp,Galaxy A05 Dual SIM Black 4GB RAM 64GB 4G LTE - Middle East Version,EGP 5399.00 Inclusive of VAT,Samsung,4.3,"['https://f.nooncdn.com/p/pnsku/N70027738V/45/_/1701414077/031e5b13-9df6-4b3f-bce0-59619dc01c22.jpg', 'https://f.nooncdn.com/p/pnsku/N70027680V/45/_/1717680382/4f47f290-0ac8-4824-ae84-cc368e833852.jpg', 'https://f.nooncdn.com/p/pnsku/N70027718V/45/_/1701414069/c14c56af-bd63-4fda-b7fc-b7933f8e1f8b.jpg']",https://www.noon.com/egypt-en/galaxy-a05-dual-sim-black-4gb-ram-64gb-4g-lte-middle-east-version/N70027738V/p/?o=c1e10ff5369b98da,,,,,Usb-c Type Cable SIM Tray Ejector Quick Start Guide,,,,,,,,1 TB,60Hz,,,,,,,
MicroSD,13 MP,Type-C,Dual SIM,12 - 15.9 MP,4 GB,5000 mAh,64 GB,Middle East Version,6.6 in,Nano SIM,1080x2400,Black,,,,Android,,Yes,,,Octa Core,Triple,LED,2023,4G,New,"SM-A146U1SQU1AUA4 , SM-A145FZKDMEA, SM-A145PZKDMEA",Galaxy A14,50+5+2 MP,Galaxy A14 Dual Sim Black 4GB RAM 64GB 4G - Middle East Version,EGP 6050.00 Inclusive of VAT,Samsung,4.3,"['https://f.nooncdn.com/p/v1687430492/N53379529A_1.jpg', 'https://f.nooncdn.com/p/v1687430490/N53379513A_1.jpg', 'https://f.nooncdn.com/p/v1687430492/N53379518A_1.jpg']",https://www.noon.com/egypt-en/galaxy-a14-dual-sim-black-4gb-ram-64gb-4g-middle-east-version/N53379529A/p/?o=d25fde30724153bb,,,13,,,,,,,,,,,90Hz,,,,,,,
MicroSD,16 MP,Type-C,Dual SIM,16 - 31.9 MP,4 GB,5000 mAh,128 GB,International Version,6.51 in,Nano SIM,720x1600,Rainbow Blue,IPS LCD,Full HD,Android 11,Android,,Yes,GSM/LTE,MediaTek Helio,Octa Core,Triple,LED,2021,4G,New,A55,A55,50+2+2,A55 Dual Sim Rainbow Blue 4GB RAM 128GB 4G LTE,EGP 6100.00 Inclusive of VAT,OPPO,5.0,[],https://www.noon.com/egypt-en/a55-dual-sim-rainbow-blue-4gb-ram-128gb-4g-lte/N51836235A/p/?o=f72067788206e49d,2.3 GHz,190 g,ColorOS 11.1,MT6765G,"Phone, Charger",Gorilla Glass,1080p,Water Proof and Dust Proof,Metal,7.6 cm,16.4 cm,0.8 cm,256 GB,60Hz,"Accelerometer, proximity_sensors, fingerprint_scanner",,,270,,,
MicroSD,8 MP,Type-C,Dual SIM,8 - 11.9 MP,4 GB,5000 mAh,128 GB,International Version,6.6 in,Nano SIM,720x1612,Diamond White,IPS LCD,,Anna,Android,,,LTE,,Octa Core,,,,4G,,X669D-W / X669C,Hot 30i-3,12 - 15.9 MP,Hot 30i Dual SIM Diamond White 4GB RAM 128GB 4G LTE,EGP 4544.00 Inclusive of VAT,Infinix,4.0,"['https://f.nooncdn.com/p/v1689564690/N53420361A_1.jpg', 'https://f.nooncdn.com/p/v1689564709/N53420360A_1.jpg', 'https://f.nooncdn.com/p/v1689564690/N53420362A_1.jpg', 'https://f.nooncdn.com/p/v1689564710/N53420359A_1.jpg']",https://www.noon.com/egypt-en/hot-30i-dual-sim-diamond-white-4gb-ram-128gb-4g-lte/N53420361A/p/?o=d9deab7c7f350b8d,1.6 GHz,,12,Unisoc T606,,Gorilla Glass,,,,,,,1 TB,,,,,,,,
,5 MP,Micro USB,Dual SIM,5 - 7.9 MP,4 GB,5000 mAh,64 GB,International Version,6.56 in,Nano SIM,720x1600,Midnight Black,,,,Android,,,GSM/LTE,,,Dual,,2022,4G,New,A174GB64GBMB,"A17,  CPH2477",50+VGA,A17 Dual SIM Midnight Black 4GB RAM 64GB 4G LTE - International Version,EGP 5999.00 Inclusive of VAT,OPPO,4.2,"['https://f.nooncdn.com/p/v1686137272/N53357082A_1.jpg', 'https://f.nooncdn.com/p/v1686137271/N53357081A_1.jpg']",https://www.noon.com/egypt-en/a17-dual-sim-midnight-black-4gb-ram-64gb-4g-lte-international-version/N53357081A/p/?o=ba5601c11c87717e,,,,,,,,,,,,,,90Hz,,,,,,,
,,Type-C,Dual SIM,,4 GB,5000 mAh,128 GB,Middle East Version,6.56 in,Nano SIM,,Glowing Black,,,,,,,,,,,,,4G,New,CPH2579,Oppo A38 Glowing Black,,A38 Glowing Black 4GB RAM 128GB 4G - Middle East Version,EGP 6299.00 Inclusive of VAT,OPPO,4.3,"['https://f.nooncdn.com/p/pnsku/N53434280A/45/_/1700980218/abf4a692-c11b-4aff-931b-beeff50aa008.jpg', 'https://f.nooncdn.com/p/pnsku/N53434220A/45/_/1715072126/f78305c2-5079-44d2-af38-3152907abbb4.jpg']",https://www.noon.com/egypt-en/a38-glowing-black-4gb-ram-128gb-4g-middle-east-version/N53434280A/p/?o=e2a0125042e0512a,,,,,,,,,,,,,,120Hz,,,,,,Type-C,
MicroSD card,,Round Pin,Dual SIM,,4 MB,800 mAh,4 MB,,1.77 in,SIM (Standard),128x160,Grey,TFT,,,Unix,,,GSM,Unisoc,Single Core,,Yes,2024,,,Uni X1,Uni X1,1.3,UNI X1 Dual SIM Mobile Phone 1.77 Inch grey,EGP 489.00 Inclusive of VAT,unitronics,N/A,[],https://www.noon.com/egypt-en/uni-x1-dual-sim-mobile-phone-1-77-inch-grey/ZA2C7F9982820DD536613Z/p/?o=za2c7f9982820dd536613z-1,,,,,,On Cell,,,,128 cm,160 cm,200 cm,2 GB,,,,Dry Cell Battery,128x160,,3.5 mm,
MicroSD,,Type-C,Dual SIM,,8 GB,5000 mAh,256 GB,International Version,6.5 in,Nano SIM,,Blue/Black,,,,,,,,,,,,2023,4G,New,Galaxy A15,Galaxy A15,,Galaxy A15 Dual Sim Blue Black 8GB RAM 256GB 4G -International Version,EGP 8990.95 Inclusive of VAT,Samsung,4.3,[],https://www.noon.com/egypt-en/galaxy-a15-dual-sim-blue-black-8gb-ram-256gb-4g-international-version/N70065710V/p/?o=c911bbadec60107e,,,,,,,,,,,,,,,,,,,,,
,,,Dual SIM,,4 GB,5000 mAh,128 GB,International Version,6.56 in,Nano SIM,,Glowing Black,,,,,,,,,,,,,,New,CPH2579,Oppo A38,,A38 Dual SIM Glowing Black 4GB RAM 128GB 4G,EGP 6888.00 Inclusive of VAT,OPPO,3.3,"['https://f.nooncdn.com/p/pnsku/N70016417V/45/_/1697779879/29c7b2de-d254-4703-a0cd-15d3ff4eb77a.jpg', 'https://f.nooncdn.com/p/pnsku/N70016419V/45/_/1697779880/c8fdc31b-1761-48af-a3d7-4e6ab98b258a.jpg']",https://www.noon.com/egypt-en/a38-dual-sim-glowing-black-4gb-ram-128gb-4g/N70016417V/p/?o=cdbdcf01fbcc1afe,,,,,,,,,,,,,,,,,,,,,
MicroSD,32 MP,Type-C,Dual SIM,32 MP & Above,12 GB,5000 mAh,512 GB,Middle East Version,6.7 in,Nano SIM,,Navigator Beige,OLED,,,,Yes,,GSM/LTE/UMTS,Qualcomm Snapdragon,Octa Core,Dual,,2023,5G,New,RMX3840,Realme 12 Pro+,50+8+64M,12 Pro+ 5G Dual SIM Navigator Beige 12GB RAM 512GB  - Middle East Version,EGP 18750.00 Inclusive of VAT,realme,4.4,"['https://f.nooncdn.com/p/pnsku/N70043152V/45/_/1707998011/ed4e3bc6-1f5f-4582-ad65-e1ef3491454d.jpg', 'https://f.nooncdn.com/p/pnsku/N70043146V/45/_/1706771081/92b0adba-7f12-4568-a9e9-7e12a5fc6011.jpg']",https://www.noon.com/egypt-en/12-pro-5g-dual-sim-navigator-beige-12gb-ram-512gb-middle-east-version/N70043152V/p/?o=bafdc6b3d4d1541f,,190 g,Realme UI 4.0,7s Gen 2,"Handset, Adapter, USB Cable, Quick Guide, Warranty Card",,,,,,,,,120Hz,"Accelerometer, Proximity Sensors, Fingerprint Scanner",,,,,,
,,,Dual SIM,,8 GB,5000 mAh,128 GB,UAE Version,6.72 in,Nano SIM,,Dazzling Green,,,,,,,,,,,,,,,CPH2577,A58,,A58 Dual SIM Dazzling Green 8GB RAM 128GB 4G - Middle East Version,EGP 9320.00 Inclusive of VAT,OPPO,4.6,"['https://f.nooncdn.com/p/v1692338788/N53429743A_1.jpg', 'https://f.nooncdn.com/p/v1692338718/N53429732A_1.jpg']",https://www.noon.com/egypt-en/a58-dual-sim-dazzling-green-8gb-ram-128gb-4g-middle-east-version/N53429743A/p/?o=a9ce8643c6923d4a,,,,,,,,,,,,,,,,,,,,,
,,Type-C,Dual SIM,,8 GB,5000 mAh,256 GB,Middle East Version,6.5 in,Nano SIM,,Light Blue,,,,Android,,,,,,,,,4G,New,Galaxy A15-Bundle,Galaxy A15-Bundle,,Galaxy A15 Dual Sim Light Blue 8GB RAM 256GB 4G - Middle East Version with free gift generic Pro Airpods Compatible With Android iPhone White,EGP 9200.00 Inclusive of VAT,Samsung,N/A,[],https://www.noon.com/egypt-en/galaxy-a15-dual-sim-light-blue-8gb-ram-256gb-4g-middle-east-version-with-free-gift-generic-pro-airpods-compatible-with-android-iphone-white/N70072005V/p/?o=cf841cff85cbf11f,,,,,,,,,,,,,,,,,,,,,
,13 MP,Type-C,Dual SIM,12 - 15.9 MP,8 GB,5030 mAh,128 GB,Middle East Version,6.79 in,Nano SIM,,Sandy Gold,,,Android 14,Android,Yes,,LTE,,,,,2024,4G,New,2404ARN45A,Redmi 13,108+2MP,Redmi 13 Dual SIM Sandy Gold 8GB RAM 128GB 4G - Middle East Version,EGP 7499.00 Inclusive of VAT,Xiaomi,5.0,[],https://www.noon.com/egypt-en/redmi-13-dual-sim-sandy-gold-8gb-ram-128gb-4g-middle-east-version/N70108149V/p/?o=e9522de67e3d234a,,,,,,,,,,,,,,,,,,,,,
,,,Dual SIM,,4 GB,5000 mAh,64 GB,,6.6 in,,,,,,,,,,,,,,,,,,,,,Smart 7 Dual SIM Polar Black 4GB RAM 64GB 4G LTE,EGP 4040.00 Inclusive of VAT,Infinix,3.9,"['https://f.nooncdn.com/p/v1685707331/N53410832A_1.jpg', 'https://f.nooncdn.com/p/v1685707387/N53410833A_1.jpg', 'https://f.nooncdn.com/p/v1685700085/N53410717A_1.jpg', 'https://f.nooncdn.com/p/v1685709169/N53410864A_1.jpg']",https://www.noon.com/egypt-en/smart-7-dual-sim-polar-black-4gb-ram-64gb-4g-lte/N53410864A/p/?o=b4a6e677867a8e4c,,,,,,,,,,,,,,,,,,,,,
,,,Dual SIM,,5 GB,5000 mAh,256 GB,International Version,6.7 in,Micro SIM,,Red,,,,,,,,,,,,,,New,Realme P1 Pro Dual Sim,Realme P1 Pro Dual Sim,,"Realme P1 Pro Dual Sim – 256GB, 8GB Ram,5G",EGP 13499.00 Inclusive of VAT,realme,N/A,[],https://www.noon.com/egypt-en/realme-p1-pro-dual-sim-256gb-8gb-ram-5g/N70118856V/p/?o=d34954c6f43bf45e,,,,,,,,,,,,,,,,,,,,,
No Expandable Memory,12 MP,Type-C,Dual SIM,12 - 15.9 MP,8 GB,3561 mAh,128 GB,International Version,6.1 in,Nano + eSIM,1179x2556,Teal,Retina Display,,iOS 18,iOS,Yes,Yes,,Apple,Hexa Core,Dual,Dual Tone flash,2024,5G,New,iPhone 16,iPhone 16,48+12,iPhone 16 128GB Teal 5G With FaceTime - International Version,EGP 48888.00 Inclusive of VAT,Apple,4.5,"['https://f.nooncdn.com/p/pnsku/N70106131V/45/_/1725964733/2ca5e7e5-575e-4636-bc29-efccc177547f.jpg', 'https://f.nooncdn.com/p/pnsku/N70106130V/45/_/1725965631/8994930f-a847-44c2-9d7c-01ea55776031.jpg', 'https://f.nooncdn.com/p/pnsku/N70106133V/45/_/1725964635/670dfc59-8c91-4429-bb15-51b8d22068ba.jpg', 'https://f.nooncdn.com/p/pnsku/N70106132V/45/_/1725965692/cf70424d-3e18-465b-8527-53f835bac1c6.jpg', 'https://f.nooncdn.com/p/pnsku/N70106134V/45/_/1725964828/945b53af-f75f-47f4-9ac5-03c0f20ed855.jpg']",https://www.noon.com/egypt-en/iphone-16-128gb-teal-5g-with-facetime-international-version/N70106133V/p/?o=c603f910a469d18d,,170 g,,A18,Mobile + Charging Cable,,,Water Resistant,,71.6 mm,147.6 mm,7.8 mm,,120Hz,,,,,,Type-C,
,,,Dual SIM,,4 GB,5000 mAh,128 GB,Middle East Version,6.5 in,Nano SIM,,Light Blue,,,,,,,,,,,,,,New,Galaxy A15 Bundle,Galaxy A15 Bundle,,"Galaxy A15 Dual SIM, 4GB RAM, 128GB, 4G - Light Blue With Free Gift Samsung 25W USB-C Super Fast Charging Travel Adapter - Black",EGP 6899.00 Inclusive of VAT,Samsung,N/A,[],https://www.noon.com/egypt-en/galaxy-a15-dual-sim-4gb-ram-128gb-4g-light-blue-with-free-gift-samsung-25w-usb-c-super-fast-charging-travel-adapter-black/N70072798V/p/?o=f948029a1d9d5f7b,,,,,,,,,,,,,,,,,,,,,
MicroSD,5 MP,Micro USB,Dual SIM,5 - 7.9 MP,4 GB,6000 mAh,128 GB,Middle East Version,6.8 in,Nano SIM,720x1612,Force Black,IPS LCD,HD,Android 12,Android,,Yes,GSM/LTE/UMTS,,Octa Core,Dual,LED,2023,4G,,P662L,ITEL P40,13MP,P40 Dual SIM Force Black 4GB RAM 128GB 4G - Middle East Version,EGP 3949.00 Inclusive of VAT,ITEL,4.3,"['https://f.nooncdn.com/p/v1687274101/N53414857A_1.jpg', 'https://f.nooncdn.com/p/pnsku/N53414858A/45/_/1701176431/9d1762b5-b4ed-4441-a31b-e705ad57a18f.jpg', 'https://f.nooncdn.com/p/pnsku/N70020522V/45/_/1698914759/74d887db-67f5-47bb-ae4d-c2c4ea45d2d9.jpg']",https://www.noon.com/egypt-en/p40-dual-sim-force-black-4gb-ram-128gb-4g-middle-east-version/N53414858A/p/?o=b30671600022972f,,,,,,Gorilla Glass,720p,,Plastic,,,,256 GB,,,,,,,,
,,,Dual SIM,,8 GB,5000 mAh,256 GB,International Version,6.43 in,Nano SIM,,Pearl Green,,,,,,,,,,,,,,,12S,Redmi Note 12S,,Redmi Note 12S Dual Sim Pearl Green 8GB RAM 256GB 4G Global Version,EGP 10500.00 Inclusive of VAT,Xiaomi,4.2,"['https://f.nooncdn.com/p/v1687265357/N53404740A_1.jpg', 'https://f.nooncdn.com/p/v1687265356/N53404737A_1.jpg', 'https://f.nooncdn.com/p/v1685433770/N53409552A_1.jpg']",https://www.noon.com/egypt-en/redmi-note-12s-dual-sim-pearl-green-8gb-ram-256gb-4g-global-version/N53409552A/p/?o=a17bda408fef09fc,,,,,,,,,,,,,,,,,,,,,
No Expandable Memory,12 MP,Type-C,Dual SIM,12 - 15.9 MP,8 GB,3561 mAh,128 GB,International Version,6.1 in,Nano + eSIM,1179x2556,White,Retina Display,,iOS 18,iOS,Yes,Yes,,Apple,Hexa Core,Dual,Dual Tone flash,2024,5G,New,iPhone 16,iPhone 16,48+12,iPhone 16 128GB White 5G With FaceTime - International Version,EGP 48888.00 Inclusive of VAT,Apple,4.5,"['https://f.nooncdn.com/p/pnsku/N70106131V/45/_/1725964733/2ca5e7e5-575e-4636-bc29-efccc177547f.jpg', 'https://f.nooncdn.com/p/pnsku/N70106130V/45/_/1725965631/8994930f-a847-44c2-9d7c-01ea55776031.jpg', 'https://f.nooncdn.com/p/pnsku/N70106133V/45/_/1725964635/670dfc59-8c91-4429-bb15-51b8d22068ba.jpg', 'https://f.nooncdn.com/p/pnsku/N70106132V/45/_/1725965692/cf70424d-3e18-465b-8527-53f835bac1c6.jpg', 'https://f.nooncdn.com/p/pnsku/N70106134V/45/_/1725964828/945b53af-f75f-47f4-9ac5-03c0f20ed855.jpg']",https://www.noon.com/egypt-en/iphone-16-128gb-white-5g-with-facetime-international-version/N70106134V/p/?o=e49df9b74096033b,,170 g,,A18,Mobile + Charging Cable,,,Water Resistant,,71.6 mm,147.6 mm,7.8 mm,,120Hz,,,,,,Type-C,
,,Micro USB,Single SIM,,1 GB,1000 mAh,32 MB,Egypt Version,1.8 in,SIM (Standard),,Blue,,,,Android,,,,,,,,2021,3G,,E11-01223-B,Mobile E11-B,,Benco E11 DUAL SIM 32MB Dark Blue,EGP 600.00 Inclusive of VAT,benco,3.7,[],https://www.noon.com/egypt-en/benco-e11-dual-sim-32mb-dark-blue/N48582854A/p/?o=d05bb37175c5ba0c,,,,,,,,,,,,,32 GB,,,Primary Camera,,,3G,,
,8 MP,Type-C,Dual SIM,8 - 11.9 MP,8 GB,5000 mAh,256 GB,Middle East Version,6.6 in,Nano SIM,720x1612,Brilliant Gold,,,Android 13,Android,Yes,,,MediaTek Dimensity,Octa Core,,LED,,4G,New,A666LN,P55,50MP,P55 Dual SIM Brilliant Gold 8+16GB RAM 256GB 4G - Middle East Version,EGP 5399.00 Inclusive of VAT,ITEL,4.4,"['https://f.nooncdn.com/p/pnsku/N70037178V/45/_/1705320279/328c90dc-fa78-40c5-b282-c6424a5f65c7.jpg', 'https://f.nooncdn.com/p/pnsku/N70065148V/45/_/1714286480/2e0f225d-7803-41bc-a4f8-df7e2cf0e117.jpg', 'https://f.nooncdn.com/p/pnsku/N70037177V/45/_/1705225091/67ba5819-b436-4e03-9c2f-092622389c63.jpg']",https://www.noon.com/egypt-en/p55-dual-sim-brilliant-gold-8-16gb-ram-256gb-4g-middle-east-version/N70065148V/p/?o=e04d33fc9062dd4a,,,13,,,,,,,,,,,,,,,,,,
